snapped_at,price,market_cap,total_volume
2016-10-29 00:00:00 UTC,3191.93,1371289,3114610
2016-10-30 00:00:00 UTC,541.529,519741,1131940
2016-10-31 00:00:00 UTC,1894.08,3217504,2878690
2016-11-01 00:00:00 UTC,1367.0,3792058.0,4836640.0
2016-11-02 00:00:00 UTC,968.08,3802618.24,3925660.0
2016-11-03 00:00:00 UTC,871.4,4636719.4,2771550.0
2016-11-04 00:00:00 UTC,611.76,4234602.72,2473380.0
2016-11-05 00:00:00 UTC,504.9,4424438.7,1999210.0
2016-11-06 00:00:00 UTC,329.59,3543422.09,2337250.0
2016-11-07 00:00:00 UTC,237.48,3065866.8,1861440.0
2016-11-08 00:00:00 UTC,195.87,2940792.18,1544070.0
2016-11-09 00:00:00 UTC,258.08,4617309.28,3866230.0
2016-11-10 00:00:00 UTC,224.83,4662749.37,1259600.0
2016-11-11 00:00:00 UTC,185.92,4422479.04,1155770.0
2016-11-12 00:00:00 UTC,144.37,3900733.03,1162480.0
2016-11-13 00:00:00 UTC,118.01,3599423.01,1413440.0
2016-11-14 00:00:00 UTC,103.73,3540201.17,1446090.0
2016-11-15 00:00:00 UTC,109.56,4168758.0,2026470.0
2016-11-16 00:00:00 UTC,97.33,4098760.96,1441030.0
2016-11-17 00:00:00 UTC,87.73,4075497.15,919412.0
2016-11-18 00:00:00 UTC,70.47,3584174.67,1025970.0
2016-11-19 00:00:00 UTC,65.26,3625127.7400000007,827122.0
2016-11-20 00:00:00 UTC,60.34,3646104.84,594947.0
2016-11-21 00:00:00 UTC,54.05,3539734.5,722131.0
2016-11-22 00:00:00 UTC,56.82,4024219.68,1321670.0
2016-11-23 00:00:00 UTC,81.63,6228287.37,2368040.0
2016-11-24 00:00:00 UTC,94.9,7800780.000000001,4080150.0
2016-11-25 00:00:00 UTC,91.61,8069924.9,3537200.0
2016-11-26 00:00:00 UTC,76.89,7231735.17,1901420.0
2016-11-27 00:00:00 UTC,70.09,7039559.24,1468570.0
2016-11-28 00:00:00 UTC,73.57,7878317.019999999,1246070.0
2016-11-29 00:00:00 UTC,68.59,7810068.94,1303560.0
2016-11-30 00:00:00 UTC,68.08,8206839.76,1368780.0
2016-12-01 00:00:00 UTC,62.87,8038306.72,1246450.0
2016-12-02 00:00:00 UTC,60.41,8154987.54,1202280.0
2016-12-03 00:00:00 UTC,59.43,8450589.42,833782.0
2016-12-04 00:00:00 UTC,58.55,8733844.95,817921.0
2016-12-05 00:00:00 UTC,51.31,8023909.11,1025810.0
2016-12-06 00:00:00 UTC,48.61,7954102.91,1389550.0
2016-12-07 00:00:00 UTC,55.55,9486884.55,1472040.0
2016-12-08 00:00:00 UTC,53.37,9492868.53,818794.0
2016-12-09 00:00:00 UTC,50.34,9314460.54,674680.0
2016-12-10 00:00:00 UTC,49.12,9448526.72,538479.0
2016-12-11 00:00:00 UTC,48.54,9680380.74,513865.0
2016-12-12 00:00:00 UTC,49.13,10150552.78,605068.0
2016-12-13 00:00:00 UTC,46.60000000000001,9961635.400000002,641235.0
2016-12-14 00:00:00 UTC,44.63,9855151.97,803491.0
2016-12-15 00:00:00 UTC,40.3,9190656.8,656877.0
2016-12-16 00:00:00 UTC,40.20000000000001,9458296.200000003,419263.0
2016-12-17 00:00:00 UTC,35.96000000000001,8711993.240000002,666919.0
2016-12-18 00:00:00 UTC,36.85,9194775.15,602270.0
2016-12-19 00:00:00 UTC,34.47,8843933.43,543339.0
2016-12-20 00:00:00 UTC,36.34,9588090.96,1100210.0
2016-12-21 00:00:00 UTC,36.2,9810887.8,886111.0
2016-12-22 00:00:00 UTC,47.67,13267466.73,2586630.0
2016-12-23 00:00:00 UTC,52.78,15066367.68,4794130.0
2016-12-24 00:00:00 UTC,48.21,14099303.76,1399220.0
2016-12-25 00:00:00 UTC,46.21,13847103.76,922182.0
2016-12-26 00:00:00 UTC,43.53,13354742.82,896123.0
2016-12-27 00:00:00 UTC,44.39,13935974.16,1033480.0
2016-12-28 00:00:00 UTC,48.46,15560215.24,2231020.0
2016-12-29 00:00:00 UTC,51.05,16754916.3,1200450.0
2016-12-30 00:00:00 UTC,50.51,16943276.44,964451.0
2016-12-31 00:00:00 UTC,48.04,16456390.24,534211.0
2017-01-01 00:00:00 UTC,48.51,16969089.06,531127.0
2017-01-02 00:00:00 UTC,49.68999999999999,17729093.86,769596.0
2017-01-03 00:00:00 UTC,50.23,18287788.63,1127240.0
2017-01-04 00:00:00 UTC,56.35,20910414.35,1970270.0
2017-01-05 00:00:00 UTC,50.29,19028177.01,2860920.0
2017-01-06 00:00:00 UTC,47.1,18152057.4,1189800.0
2017-01-07 00:00:00 UTC,46.92,18428111.52,1082430.0
2017-01-08 00:00:00 UTC,46.16,18458506.96,835701.0
2017-01-09 00:00:00 UTC,46.21,18802571.74,663039.0
2017-01-10 00:00:00 UTC,45.63,18897938.28,750934.0
2017-01-11 00:00:00 UTC,40.55,17083471.7,1219870.0
2017-01-12 00:00:00 UTC,42.83,18351841.23,1394500.0
2017-01-13 00:00:00 UTC,43.25,18841040.75,698135.0
2017-01-14 00:00:00 UTC,43.92,19444218.48,576140.0
2017-01-15 00:00:00 UTC,45.41,20420604.54,790468.0
2017-01-16 00:00:00 UTC,43.38,19822230.72,676604.0
2017-01-17 00:00:00 UTC,44.75,20778812.25,1093110.0
2017-01-18 00:00:00 UTC,43.59,20539346.46,957912.0
2017-01-19 00:00:00 UTC,44.16,21128087.04,590666.0
2017-01-20 00:00:00 UTC,43.39,21071008.41,671595.0
2017-01-21 00:00:00 UTC,43.52,21446917.12,706104.0
2017-01-22 00:00:00 UTC,43.24,21620259.44,804769.0
2017-01-23 00:00:00 UTC,42.88,21738830.72,612632.0
2017-01-24 00:00:00 UTC,41.43,21305626.08,643814.0
2017-01-25 00:00:00 UTC,39.93,20823734.58,845308.0
2017-01-26 00:00:00 UTC,38.15,20165861.1,1153410.0
2017-01-27 00:00:00 UTC,38.19,20454793.139999997,950831.0
2017-01-28 00:00:00 UTC,38.16,20717789.039999995,573398.0
2017-01-29 00:00:00 UTC,38.74,21308200.94,890189.0
2017-01-30 00:00:00 UTC,40.31,22454927.360000003,746792.0
2017-01-31 00:00:00 UTC,39.53,22306027.93,992104.0
2017-02-01 00:00:00 UTC,39.88,22791659.28,630443.0
