,ada,ar,atom,bat,bch,bnb,btc,busd,cro,dai,dash,dgb,doge,etc,eth,ftm,kcs,leo,link,mana,mkr,mnw,omg,qtum,snx,usdc,usdt,xlm,xmr,xrp,zec,zil
count,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0
mean,0.003603458825568372,0.0054297959448329014,0.0030586144251050504,0.002156750870113199,0.0010851366241965011,0.004105053840302791,0.0018468745004128185,6.866050276801015e-06,0.002201759591109803,2.3585809028568224e-05,0.00200620613789951,0.0028747387223656386,0.007393789310030272,0.0031968591470390327,0.003431430743797089,0.0072014523981789634,0.0034641279269627136,0.001767481979852991,0.0031087251838577087,0.005439990878575221,0.002488922606559956,0.006751534928510434,0.0030414989948844393,0.0025706194680717945,0.003515549002777085,1.9967097082589896e-06,5.456918269661051e-06,0.0021746876292646636,0.002317682370901813,0.0025345221688933715,0.002105597853925699,0.004209462960315877
std,0.05576146975753439,0.08688671131990634,0.0663585745713165,0.06196607721350264,0.05538682310910466,0.05507263808747396,0.03674517300544969,0.004026576987497042,0.0560692957854527,0.004192603534962979,0.06135080117195068,0.07052421649582268,0.12595255480529696,0.06396481527252719,0.04882472200611609,0.09271399374955726,0.05920883475081592,0.034553723406685735,0.06196860304732316,0.08465520361886,0.06548057147916861,0.09778659271815508,0.07342107268778292,0.06478798725172467,0.07714300025466977,0.0029238276137979304,0.0027641922917953335,0.05737558950220114,0.04990514286727083,0.060718470655719226,0.06015051973848421,0.07585543694809398
min,-0.40809099137922367,-0.3914872747528376,-0.4624256798535441,-0.4482276681653472,-0.44002894221188527,-0.42823910978173474,-0.35190269361185134,-0.06288084520320059,-0.39967515142853294,-0.034374406483094755,-0.3931313316595493,-0.43327409521019555,-0.39774379617546796,-0.41359983730310135,-0.43054747092585577,-0.5645879853216715,-0.37965626483734494,-0.1779269316329839,-0.483575715970602,-0.4798120241833964,-0.5856452011369224,-0.41814876463735406,-0.44732838976095246,-0.4523969846320377,-0.46152445999482583,-0.028088477464203954,-0.0195347233929124,-0.35555213467353175,-0.40070132972556904,-0.42278951262899267,-0.40557772028599715,-0.44570591796228887
25%,-0.025859299772099414,-0.04037479428630589,-0.031282120944214564,-0.027190212918769746,-0.02339840573032101,-0.017570761587328232,-0.014366717908846027,-0.001219978881620759,-0.02213268064914206,-0.0014800355293320966,-0.02596217409208021,-0.030777148972590707,-0.026533128680054086,-0.024794669599005892,-0.019647673101021473,-0.04068491367949903,-0.0191786388800132,-0.008699271250793617,-0.03025301773914854,-0.033843089859270536,-0.02864570792295351,-0.04651508944699634,-0.031795293524926854,-0.026838280462826325,-0.042718843258037986,-0.0011678036164118055,-0.001039774459185544,-0.02447137595333196,-0.020905500419360373,-0.022175677367116675,-0.027408613323189585,-0.03186444903866481
50%,0.001214396598468448,-0.004616184721842165,0.001549807717136642,6.548047795540413e-05,0.001778194179702819,0.002349549510807125,0.0011385551712397302,1.0371529904573684e-05,0.0027240396768154485,8.244218752362364e-05,0.0020202884252740194,-0.0008305852551623305,-0.00045141089391059763,0.0009015337387240363,0.002991343657697265,0.000736932150165126,0.0002590277483194292,0.000939068951229638,0.003800492806462552,0.0012406657990692294,-0.00039356868095730135,-0.006638698857216185,0.0011927510160496535,0.003466533764218127,-0.0007955278050983949,5.1334441269701436e-05,2.713941390752872e-05,0.0017809275707389993,0.00348667891284693,0.0008173884671168752,0.0024111144468227375,0.0021280863816321993
75%,0.028226090454874342,0.0406525918350617,0.03499953851044568,0.030916412471330035,0.024441371368985054,0.02523729648572476,0.018730718717087813,0.0012681142584686222,0.02559310797645936,0.001488275397391825,0.028077406883973643,0.031543741842671225,0.022244309819254515,0.02578798340541899,0.02906117662927532,0.04307159594810861,0.021575819846295696,0.012066799092374736,0.03468896519879433,0.03391994803922466,0.025569572859906187,0.046701661516330206,0.03506649998537453,0.03226097169790737,0.042741904068289205,0.0011831099973227954,0.0010377806314444404,0.02430500083955839,0.027565492203234288,0.023617873397042022,0.032553006450175004,0.03436101032924077
max,0.3089113284102991,0.5766007102284558,0.32572125964101595,0.4760453040514363,0.5266979685868467,0.7378630795941072,0.19246950702977883,0.06719860870128658,0.5770107882006108,0.02868647057207263,0.5712779225436313,0.5700852762661099,3.3890106754849256,0.4467141219916615,0.24533636250592483,0.506150704654242,0.5672590049086579,0.5770961426300878,0.30376086094373256,1.5165831983851326,0.5557600196109105,0.564337601834745,0.705054670799321,0.4801275825166398,0.5842482600375924,0.02907987746763041,0.02531979885178437,0.7420530875066254,0.3740623242390111,0.5270737966701786,0.2723473913574286,0.8871059924768714
skewness,0.30042084620834764,1.2166992955479117,0.10734329010500976,0.7460322908265937,0.6542844480394027,1.8966909338745819,-0.6009280356491559,0.595170693313117,0.7063602524189369,-0.24628855395610694,1.0513071779827021,1.1546136998749899,17.006437275770274,1.0994812249565866,-0.5035596370635932,0.9051172103462342,1.8708493340906378,4.2732991748920375,-0.20991170611500504,5.292152934059969,1.5003392255610761,0.9594621554465196,1.532556514161869,0.4679158257738921,0.6220009113743921,0.14069200157027312,0.21578926171452165,2.2814553723842774,-0.41068941757903654,1.29426678263681,-0.18707598240636966,2.3516902491065528
kurtosis,5.1573406544263865,6.202550278997547,5.234903100732412,9.164123446171043,15.264781812665946,33.18572710086332,9.16505908122769,113.70042627387733,14.340187151120256,13.984425552665718,13.979782226960475,9.569794476726189,434.8269078782976,9.660279787887747,7.706362512265452,6.208747543586721,18.12779355814747,68.75150301903996,5.597786767853112,86.86865216031563,19.230896395733538,3.5659196851664823,15.095834266657453,8.900423560063793,5.670369417096284,19.620153675064913,13.734553600780794,30.10974504060574,11.514955977823593,15.480278176139967,4.883986435109472,26.636553154239945
